"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"2787","Case-Mate Waterfall Case for Apple iPhone 11 Pro","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/iphone-11-case/case-mate-waterfall-case-for-apple-iphone-11-pro"
"2788","Samsung Rugged Protective Case Cover for Samsung Galaxy Note10 Plus","Samsung","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-note10-plus"
"2788","Samsung Rugged Protective Case Cover for Samsung Galaxy Note10 Plus","Samsung","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-note10-plus"
"2789","Samsung Rugged Protective Case Cover for Samsung Galaxy Note10","Samsung","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-note10"
"2789","Samsung Rugged Protective Case Cover for Samsung Galaxy Note10","Samsung","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-note10"
"2792","Samsung S-View Flip Cover Case for Samsung Galaxy S20 Plus 5G","Samsung","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-case-for-samsung-galaxy-s20-plus-5g"
"2792","Samsung S-View Flip Cover Case for Samsung Galaxy S20 Plus 5G","Samsung","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-case-for-samsung-galaxy-s20-plus-5g"
"2793","Speck Presidio Pro Case for Samsung Galaxy S20 Plus 5G","Speck","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/speck-presidio-pro-case-for-samsung-galaxy-s20-plus-5g"
"2793","Speck Presidio Pro Case for Samsung Galaxy S20 Plus 5G","Speck","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/speck-presidio-pro-case-for-samsung-galaxy-s20-plus-5g"
"2794","Axessorize Revolve Case for Motorola Moto E6","Axessorize","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/motorola-covers/axessorize-revolve-case-for-motorola-moto-e6"
"2794","Axessorize Revolve Case for Motorola Moto E6","Axessorize","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/motorola-covers/axessorize-revolve-case-for-motorola-moto-e6"
"2795","Tech21 EVO Check Case for LG K40","Tech21","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/lg-1/tech21-evo-check-case-for-lg-k40"
"2795","Tech21 EVO Check Case for LG K40","Tech21","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/lg-1/tech21-evo-check-case-for-lg-k40"
"2797","Apple Leather Case for iPhone 11 Pro","Apple","new","out of stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/iphone-11-case/apple-leather-case-for-iphone-11-pro"
