"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"motorola flip phone","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.73,6,157,0,0
"green gadgets australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.72,1,44,0,0
"mac mini m4","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.72,2,27,0,0
"galaxy flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.71,2,111,0,0
"samsung galaxy z flip7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.71,1,42,0,0
"pre owned phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.7,1,1,0,0
"refurbished oppo phones","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.7,1,3,0,0
"iphone 16 refurbished australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.69,1,15,0,0
"phone not","CJ - Refurbished Phones","Refurbished Phones","branded","AUD",1.69,1,12,0,0
"s26 ultra 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.69,2,80,0,0
"z flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.69,1,166,0,0
"galaxy z fold","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.68,1,2,0,0
"iphone 16 pro max excellent condition","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.68,1,3,0,0
"iphone 17 256","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.68,5,169,0,0
